,time,open,high,low,close,date,symbol,rsi,candle_color,next_candle_color,next_candle_close,next_candle_open,pattern,next_candle_high,next_candle_low,candle_diff_pct
356,38700,17579.45,17583.95,17560.2,17578.6,220121,NIFTY,40.48,Red,Green,17612.15,17578.3,,17616.6,17567.4,0.384
357,39600,17578.3,17616.6,17567.4,17612.15,220121,NIFTY,44.26,Green,Green,17615.85,17611.1,,17626.9,17603.45,0.376
358,40500,17611.1,17626.9,17603.45,17615.85,220121,NIFTY,42.87,Green,Red,17594.1,17615.95,Bullish Engulfing,17619.1,17591.95,0.321
359,41400,17615.95,17619.1,17591.95,17594.1,220121,NIFTY,42.27,Red,Green,17629.7,17593.4,,17631.25,17590.15,0.339
360,42300,17593.4,17631.25,17590.15,17629.7,220121,NIFTY,47.36,Green,Green,17651.05,17628.9,Bearish Engulfing,17652.1,17620.85,0.199
361,43200,17628.9,17652.1,17620.85,17651.05,220121,NIFTY,44.71,Green,Green,17662.4,17650.7,Bullish Engulfing,17666.15,17638.1,0.234
362,44100,17650.7,17666.15,17638.1,17662.4,220121,NIFTY,41.15,Green,Red,17659.1,17661.6,,17665.75,17635.75,0.352
363,45000,17661.6,17665.75,17635.75,17659.1,220121,NIFTY,39.01,Red,Green,17668.3,17658.2,,17674.0,17647.15,0.257
364,45900,17658.2,17674.0,17647.15,17668.3,220121,NIFTY,66.55,Green,Green,17699.95,17668.8,,17707.25,17664.7,0.172
365,46800,17668.8,17707.25,17664.7,17699.95,220121,NIFTY,62.61,Green,Red,17619.05,17699.05,Bullish Engulfing,17699.4,17616.4,0.217
366,47700,17699.05,17699.4,17616.4,17619.05,220121,NIFTY,42.75,Red,Red,17602.65,17618.85,,17638.1,17596.6,0.341
367,48600,17618.85,17638.1,17596.6,17602.65,220121,NIFTY,45.56,Red,Green,17627.7,17602.3,,17638.1,17595.85,0.516
368,49500,17602.3,17638.1,17595.85,17627.7,220121,NIFTY,52.1,Green,Red,17598.85,17627.4,,17653.65,17597.55,0.584
369,50400,17627.4,17653.65,17597.55,17598.85,220121,NIFTY,52.97,Red,Red,17575.2,17598.85,Bullish Engulfing,17603.6,17559.05,0.24
370,51300,17598.85,17603.6,17559.05,17575.2,220121,NIFTY,49.51,Red,Red,17516.7,17574.8,,17586.0,17516.7,0.328
371,52200,17574.8,17586.0,17516.7,17516.7,220121,NIFTY,37.14,Red,Red,17493.5,17517.1,,17542.5,17487.2,0.539
372,53100,17517.1,17542.5,17487.2,17493.5,220121,NIFTY,34.34,Red,Green,17614.25,17497.3,,17631.95,17497.3,0.496
373,54000,17497.3,17631.95,17497.3,17614.25,220121,NIFTY,52.06,Green,Green,17650.45,17615.05,,17650.45,17615.05,0.565
374,54900,17615.05,17650.45,17615.05,17650.45,220121,NIFTY,52.12,Green,Red,17472.0,17575.15,,17598.35,17471.9,0.828
375,33300,17575.15,17598.35,17471.9,17472.0,220124,NIFTY,36.17,Red,Green,17470.35,17469.9,,17476.85,17404.75,0.875
376,34200,17469.9,17476.85,17404.75,17470.35,220124,NIFTY,34.94,Green,Red,17450.3,17470.1,,17515.9,17439.95,1.022
377,35100,17470.1,17515.9,17439.95,17450.3,220124,NIFTY,34.05,Red,Red,17427.9,17448.55,,17462.1,17427.9,1.112
378,36000,17448.55,17462.1,17427.9,17427.9,220124,NIFTY,32.0,Red,Red,17389.45,17427.15,,17431.65,17386.7,0.639
